asdf


asddas2018-07-07 12:40:20,789 'a'
2018-07-07 12:47:16,650 Key.right
2018-07-07 12:47:17,882 Key.right
2018-07-07 12:47:18,274 Key.right
2018-07-07 12:47:18,713 Key.right
2018-07-07 12:47:19,105 Key.right
2018-07-07 12:47:19,489 Key.right
2018-07-07 12:47:27,641 Key.ctrl_l
2018-07-07 12:47:28,089 'x'
2018-07-07 12:47:31,489 'e'
2018-07-07 12:47:31,826 'x'
2018-07-07 12:47:32,186 'e'
2018-07-07 12:47:44,786 Key.ctrl_l
2018-07-07 12:47:45,285 Key.ctrl_l
2018-07-07 12:47:45,318 Key.ctrl_l
2018-07-07 12:47:45,352 Key.ctrl_l
2018-07-07 12:47:45,384 Key.ctrl_l
2018-07-07 12:47:45,417 Key.ctrl_l
2018-07-07 12:47:45,451 Key.ctrl_l
2018-07-07 12:47:45,483 Key.ctrl_l
2018-07-07 12:47:45,516 Key.ctrl_l
2018-07-07 12:47:45,550 Key.ctrl_l
2018-07-07 12:47:45,583 Key.ctrl_l
2018-07-07 12:47:45,616 Key.ctrl_l
2018-07-07 12:47:45,649 Key.ctrl_l
2018-07-07 12:47:45,682 Key.ctrl_l
2018-07-07 12:47:45,715 Key.ctrl_l
2018-07-07 12:47:45,750 Key.ctrl_l
2018-07-07 12:47:45,781 Key.ctrl_l
2018-07-07 12:47:46,585 't'
2018-07-07 12:47:46,681 'e'
2018-07-07 12:47:46,873 's'
2018-07-07 12:47:47,049 't'
2018-07-07 12:47:47,153 'e'
2018-07-07 12:47:47,513 'x'
2018-07-07 12:47:47,737 'e'
2018-07-07 12:47:48,385 '.'
2018-07-07 12:47:48,689 'p'
2018-07-07 12:47:49,241 'y'
2018-07-07 12:47:51,385 Key.enter
2018-07-07 12:47:52,154 Key.ctrl_l
2018-07-07 12:47:52,649 'v'
2018-07-07 12:47:54,305 Key.up
2018-07-07 12:47:55,273 Key.delete
2018-07-07 12:48:01,849 Key.ctrl_l
2018-07-07 12:48:02,001 Key.shift
2018-07-07 12:48:02,161 Key.f10
2018-07-07 12:48:20,193 Key.up
2018-07-07 12:48:21,001 Key.backspace
2018-07-07 12:48:21,337 Key.backspace
2018-07-07 12:48:21,793 Key.backspace
2018-07-07 12:48:28,906 Key.left
2018-07-07 12:48:29,064 Key.left
2018-07-07 12:48:29,209 Key.left
2018-07-07 12:48:29,353 Key.left
2018-07-07 12:48:29,513 Key.left
2018-07-07 12:48:29,961 Key.left
2018-07-07 12:48:30,137 Key.left
2018-07-07 12:48:30,617 Key.left
2018-07-07 12:48:30,921 Key.left
2018-07-07 12:48:31,083 Key.left
2018-07-07 12:48:31,241 Key.left
2018-07-07 12:48:31,402 Key.left
2018-07-07 12:48:31,568 Key.left
2018-07-07 12:48:31,729 Key.left
2018-07-07 12:48:31,888 Key.left
2018-07-07 12:48:32,081 Key.left
2018-07-07 12:48:32,241 Key.left
2018-07-07 12:48:32,400 Key.left
2018-07-07 12:48:32,577 Key.left
2018-07-07 12:48:32,752 Key.left
2018-07-07 12:48:33,346 Key.left
2018-07-07 12:48:34,456 Key.left
2018-07-07 12:48:35,266 Key.left
2018-07-07 12:48:35,714 Key.left
2018-07-07 12:48:36,289 Key.left
2018-07-07 12:48:36,689 Key.left
2018-07-07 12:48:37,410 Key.right
2018-07-07 12:48:38,034 Key.space
2018-07-07 12:48:40,833 Key.left
2018-07-07 12:48:41,162 Key.left
2018-07-07 12:48:41,514 Key.left
2018-07-07 12:48:48,409 Key.right
2018-07-07 12:48:52,257 Key.right
2018-07-07 12:48:52,913 Key.right
2018-07-07 12:49:01,153 Key.right
2018-07-07 12:49:05,401 Key.right
2018-07-07 12:49:06,312 Key.alt_l
2018-07-07 12:49:06,392 Key.tab
2018-07-07 12:49:08,857 Key.ctrl_l
2018-07-07 12:49:09,113 'x'
2018-07-07 12:49:09,520 Key.down
2018-07-07 12:49:10,256 Key.enter
2018-07-07 12:49:11,376 Key.down
2018-07-07 12:49:11,584 Key.enter
2018-07-07 12:49:12,320 Key.up
2018-07-07 12:49:12,560 Key.ctrl_l
2018-07-07 12:49:12,961 'v'
2018-07-07 12:49:13,560 Key.ctrl_l
2018-07-07 12:49:13,736 Key.shift
2018-07-07 12:49:13,928 Key.f10
2018-07-07 12:49:21,720 Key.alt_l
2018-07-07 12:49:21,896 Key.tab
2018-07-07 12:49:24,089 Key.right
2018-07-07 12:49:25,425 Key.space
2018-07-07 12:49:31,904 Key.right
2018-07-07 12:49:36,361 Key.right
2018-07-07 12:49:36,952 Key.right
2018-07-07 12:49:40,169 Key.right
2018-07-07 12:49:41,369 Key.right
2018-07-07 12:49:41,952 Key.right
2018-07-07 12:49:42,489 Key.right
2018-07-07 12:50:01,064 'p'
2018-07-07 12:50:01,177 'r'
2018-07-07 12:50:01,903 Key.enter
2018-07-07 12:50:02,984 Key.delete
2018-07-07 12:50:03,624 Key.shift
2018-07-07 12:50:03,768 Key.right
2018-07-07 12:50:04,712 Key.left
2018-07-07 12:50:05,752 Key.end
2018-07-07 12:50:06,496 Key.shift_r
2018-07-07 12:50:06,752 '0'
2018-07-07 12:50:08,352 Key.ctrl_l
2018-07-07 12:50:08,623 's'
2018-07-07 12:50:11,576 Key.ctrl_l
2018-07-07 12:50:11,720 Key.shift
2018-07-07 12:50:11,943 Key.f10
2018-07-07 12:50:31,056 Key.space
2018-07-07 12:50:39,143 Key.space
2018-07-07 12:50:39,647 Key.right
2018-07-07 12:50:41,415 Key.right
2018-07-07 12:50:41,879 Key.right
2018-07-07 12:50:42,496 Key.right
2018-07-07 12:50:42,871 Key.right
2018-07-07 12:50:43,143 Key.right
2018-07-07 12:50:51,135 Key.right
2018-07-07 12:50:51,895 Key.right
2018-07-07 12:50:52,088 Key.right
2018-07-07 12:50:52,280 Key.right
2018-07-07 12:50:52,799 Key.right
2018-07-07 12:50:53,039 Key.right
2018-07-07 12:50:53,184 Key.right
2018-07-07 12:50:53,378 Key.right
2018-07-07 12:50:53,551 Key.right
2018-07-07 12:50:53,712 Key.right
2018-07-07 12:50:53,880 Key.right
2018-07-07 12:50:54,039 Key.right
